ticker,expiry,option_type,downloaded_at_utc,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL,2026-08-21,put,2026-01-21T21:40:12.897605+00:00,AAPL260821P00125000,2026-01-21 15:07:53+00:00,125.0,0.37,0.31,0.37,0.00999999,2.777775,9.0,49.0,0.42676354492187507,False,REGULAR,USD
AAPL,2026-08-21,put,2026-01-21T21:40:12.897605+00:00,AAPL260821P00130000,2026-01-21 15:08:30+00:00,130.0,0.46,0.41,0.45,0.13,39.393936,9.0,40.0,0.4167538793945312,False,REGULAR,USD
AAPL,2026-08-21,put,2026-01-21T21:40:12.897605+00:00,AAPL260821P00135000,2026-01-15 20:21:21+00:00,135.0,0.42,0.5,0.54,0.0,0.0,1.0,65.0,0.40650007568359375,False,REGULAR,USD
AAPL,2026-08-21,put,2026-01-21T21:40:12.897605+00:00,AAPL260821P00140000,2026-01-16 20:47:49+00:00,140.0,0.5,0.61,0.65,0.0,0.0,8.0,28.0,0.3969786865234375,False,REGULAR,USD
AAPL,2026-08-21,put,2026-01-21T21:40:12.897605+00:00,AAPL260821P00145000,2026-01-06 14:47:04+00:00,145.0,0.78,0.73,0.78,0.21999997,39.285706,3.0,45.0,0.387701435546875,False,REGULAR,USD
AAPL,2026-08-21,put,2026-01-21T21:40:12.897605+00:00,AAPL260821P00150000,2026-01-21 15:07:53+00:00,150.0,0.98,0.89,0.99,-0.120000005,-10.909091,3.0,73.0,0.3830628100585937,False,REGULAR,USD
AAPL,2026-08-21,put,2026-01-21T21:40:12.897605+00:00,AAPL260821P00155000,2026-01-20 19:25:16+00:00,155.0,1.11,1.07,1.17,0.0,0.0,11.0,121.0,0.3737855590820312,False,REGULAR,USD
AAPL,2026-08-21,put,2026-01-21T21:40:12.897605+00:00,AAPL260821P00160000,2026-01-16 19:53:04+00:00,160.0,1.02,1.25,1.38,0.0,0.0,15.0,456.0,0.36475244628906256,False,REGULAR,USD
AAPL,2026-08-21,put,2026-01-21T21:40:12.897605+00:00,AAPL260821P00165000,2026-01-13 14:45:59+00:00,165.0,1.09,1.53,1.65,0.0,0.0,2.0,290.0,0.3573062316894531,False,REGULAR,USD
AAPL,2026-08-21,put,2026-01-21T21:40:12.897605+00:00,AAPL260821P00170000,2026-01-20 20:55:31+00:00,170.0,2.17,1.83,1.89,0.0,0.0,2.0,671.0,0.3466251861572265,False,REGULAR,USD
